"sample_id","filename","file_type","file_hash_sha256","file_size_bytes","source","created_with","ground_truth_label","expected_signal","notes","final_confidence"
"PDF_CLEAN_01","pdf_clean_01.pdf","application/pdf","b26864eefc9acd3602610499337e8998ab718e54a0ebd9d714bf669e9bc6d0f5","5738","local_lab_sample","benign PDF reference","clean","No malicious indicators expected","Clean PDF baseline","high"
"PDF_CLEAN_02","pdf_clean_02.pdf","application/pdf","ba36eebffcca7d6673cdcb45d6fba748265fc6046f501677d2fd7183e10ace60","95801","local_lab_sample","benign PDF reference","clean","No malicious indicators expected","Second clean PDF baseline","high"
"PDF_SUSPICIOUS_01","pdf_suspicious_01.pdf","application/pdf","9de83df25771c7e960da425a66db55f4d668b7af5ad89faf52d0f317dc3b0126","445281","local_lab_sample","controlled suspicious PDF sample","suspicious","Suspicious PDF structure or embedded indicator expected","Used to evaluate PDF suspicious-signal handling","medium"
"PDF_HIDDEN_PAYLOAD_01","pdf_hidden_payload_01.pdf","application/pdf","c3a7c69e1e7a45edaef3ebfc626c50e75918ab27d283997d7759d123c8e8f003","827","local_lab_sample","ForenAlyze lab PDF marker generator","stego","Embedded content or hidden_payload marker expected","PDF hidden payload is treated as embedded content rather than literal image/audio stego","high"
"OFFICE_CLEAN_01","office_clean_01.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","daf024a4686a1c594a54892c37be6bce19959fed2146fdcf93947d8d8ebf1e22","13532","local_lab_sample","Microsoft Word compatible DOCX generator","clean","No macros or malicious indicators expected","Clean DOCX baseline","high"
"OFFICE_CLEAN_02","office_clean_02.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1c5cdb04f4eaede961bbe83c60da926b7f625fa802d911de675d2f3e4a3fc305","8856","local_lab_sample","Microsoft Excel compatible XLSX generator","clean","No macros or malicious indicators expected","Clean XLSX baseline","high"
"OFFICE_MACRO_01","office_macro_01.docm","application/vnd.ms-word.document.macroEnabled.12","bd61fa249e8d67733194eb1ce77c4fe3730757ca18c2c89be014fd986aa704a0","76351","local_lab_sample","controlled macro-enabled Office sample","macro","VBA macros present; macro_detected=yes","DOCM macro test sample","high"
"OFFICE_MACRO_02","office_macro_02.xlsm","application/vnd.ms-excel.sheet.macroEnabled.12","373ac0ea3b02930d6d600ca984df2f4f68e46fa42be675ec536bd2f7989db0b9","13118","local_lab_sample","controlled macro-enabled Office sample","macro","VBA macros present; macro_detected=yes","XLSM macro test sample","high"
"EXE_CLEAN_01","exe_clean_01.exe","application/x-msdownload","184211b2b2470d7f59ff3cc37c7bdf6372e809d4903f1efcb604e1458b6cab1f","6989472","local_lab_sample","benign Windows executable reference","clean","No malicious indicators expected","Clean executable baseline","medium"
"EXE_CLEAN_02","exe_clean_02.exe","application/x-msdownload","7d3654531c32d941b8cae81c4137fc542172bfa9635f169cb392f245a0a12bcb","2380800","local_lab_sample","benign Windows executable reference","clean","No malicious indicators expected","Second clean executable baseline","medium"
"EXE_SUSPICIOUS_01","exe_suspicious_01.exe","application/x-msdownload","6b01e3482be486bad650f2c7d07e476ccb66a131cdd6ec8b2054b032c9ccea5e","378","local_lab_sample","ForenAlyze lab YARA marker generator","suspicious","Lab YARA marker expected; yara_matches>=1 with lab rule","Controlled YARA demo sample","high"
"EXE_MALICIOUS_01","exe_malicious_01.exe","application/x-msdownload","435be1c6e904836ad65f97f3eac4cbe19ee7ba0da48178fc7f00206270469165","6656","local_lab_sample","known malicious/suspicious executable reference","malicious","Antivirus or YARA malware signal expected","Handle only in isolated lab conditions","medium"
"IMAGE_CLEAN_01","image_clean_01.png","image/png","4bd53d3c041cf358f1cbd77d3dd6995f21754c02e198b945aa4dcbd112fc1d34","1965056","local_lab_sample","benign PNG reference","clean","No hidden payload expected","Clean image baseline","high"
"IMAGE_CLEAN_02","image_clean_02.png","image/png","639c87f4cee75b7d7b0c9637cd09bc8f906c34f554cf41b716c777e89d978dcf","1869674","local_lab_sample","benign PNG reference","clean","No hidden payload expected","Second clean image baseline","high"
"IMAGE_STEGO_01","image_stego_01.png","image/png","57a4aa77c29e8952037e794c7c8eaf4864d66ff19985d9d7a31938f3473a9704","39598","local_lab_sample","LSB steganography lab generator","stego","LSB hidden text present; stego_detected=yes or possible","Image steganography test sample","high"
"IMAGE_STEGO_02","image_stego_02.png","image/png","317dd785094c9f1d5085b68add24b02cd36c83de914479257d8bf1b78017d538","2428179","local_lab_sample","LSB steganography lab generator","stego","LSB hidden text present; stego_detected=yes or possible","Second image steganography test sample","high"
"WAV_CLEAN_01","wav_clean_01.wav","audio/x-wav","7c83283e4cdde5198f7b252127b61631dcef3aced92ffb8023a99a08fb0504b5","9036044","local_lab_sample","benign WAV reference","clean","No hidden payload expected","Clean WAV baseline","high"
"WAV_STEGO_01","wav_stego_01.wav","audio/x-wav","20fe55184383a4bfca5c54461f81597282037df29bb9dbd8609eccef5ed11ab4","9035820","local_lab_sample","audio LSB steganography lab generator","stego","Hidden text in audio expected; stego_detected=yes or possible","Audio steganography test sample","high"
"WAV_STEGO_02","wav_stego_02.wav","audio/x-wav","23e1d66f78c9067cd08aa6a270f8077b357dc38b8fe5d0f6d26e6a3b8ccda0f7","4917472","local_lab_sample","audio LSB steganography lab generator","stego","Hidden text in audio expected; stego_detected=yes or possible","Second audio steganography test sample","high"
